	0
0	차량제어-운전제어-일자따라가기
1	주행정보-주행기록-자율주행주행기록
2	차량제어-도어제어-조수석차문열기
3	차량제어-공조제어-에어컨제어
4	차량제어-속도제어-주행속도세팅
5	차량제어-좌석제어-좌석통풍켜기
6	비상제어-보험사연락-자동보험사연락
7	차량제어-도어제어-전체차문열기
8	주행정보-자율주행가능여부-자율주행가능여부확인
9	차선제어-차선변경-오른쪽으로차선변경
10	차량제어-긴급차량-에스오에스차량양보
11	차량제어-자율주행시작-자율주행모드시작
12	차량제어-좌석제어-좌석온도내리기
13	차량제어-도어제어-뒷자리차문열기
14	차량제어-운전제어-일자추월
15	차선제어-갓길이동정차-갓길이동명령
16	차량제어-좌석제어-좌석온도올리기
17	차선제어-차선변경-차선변경
18	차량제어-공조제어-히터제어
19	비상제어-차량비상정지-비상정지모드켜기
20	차량제어-창문제어-전체창문닫기
21	비상제어-차량비상정지-비상정지모드끄기
22	차량제어-자율주행시작-자율주행모드종료
23	차량제어-도어제어-조수석차문닫기
24	차량제어-좌석제어-좌석온도제어
25	차량제어-창문제어-조수석창문열기
26	차선제어-차선유지-차선유지모드켜기
27	차량제어-창문제어-전체창문열기
28	차량제어-창문제어-조수석창문닫기
29	차선제어-차선변경-왼쪽으로차선변경
30	차량제어-좌석제어-좌석통풍끄기
31	차량제어-공조제어-히터켜기
32	주행정보-속도확인-자율주행속도확인
33	차량제어-도어제어-전체차문닫기
34	차량제어-공조제어-에어컨끄기
35	차량제어-창문제어-시동석창문열기
36	차량제어-공조제어-히터끄기
37	차량제어-공조제어-에어컨켜기
38	차량제어-도어제어-뒷자리차문닫기
39	차량제어-좌석제어-좌석통풍제어
40	차선제어-차선유지-차선유지모드끄기
41	온도제어-보일러제어-최소설정
42	플러그-선풍기플러그-위치
43	조명-안방조명제어-최대설정
44	조명-전체조명제어-불켜기
45	플러그-전원플러그-전원끄기
46	안전-가스밸브잠금-가스밸브상태확인
47	편의-식료품주문-식료품주문내역확인
48	편의-로봇청소기제어-단계변경
49	조명-안방조명제어-불끄기
50	편의-로봇청소기제어-모드켜기
51	온도제어-에어컨제어-위치확인
52	편의-식료품주문-식료품주문상태확인
53	편의-로봇청소기제어-위치확인
54	플러그-컴퓨터플러그-타이머설정
55	조명-안방조명제어-타이머설정
56	안전-현관문잠금-현관문잠금상태확인
57	온도제어-보일러제어-최대설정
58	온도제어-에어컨제어-전원켜기
59	편의-홈카메라제어-내역확인
60	조명-거실조명제어-불끄기
61	플러그-전원플러그-타이머설정
62	플러그-선풍기플러그-전원켜기
63	조명-전체조명제어-단계설정
64	조명-전체조명제어-단계올리기
65	온도제어-에어컨제어-최대설정
66	조명-거실조명제어-단계올리기
67	조명-거실조명제어-단계설정
68	온도제어-에어컨제어-최소설정
69	알림-도착예정알림-시간정보
70	조명-거실조명제어-위치
71	안전-가스밸브잠금-타이머설정
72	온도제어-보일러제어-온도높이기
73	플러그-컴퓨터플러그-전원끄기
74	조명-전체조명제어-타이머설정
75	플러그-컴퓨터플러그-전원켜기
76	조명-전체조명제어-불끄기
77	온도제어-보일러제어-타이머설정
78	온도제어-보일러제어-단계설정
79	안전-가스밸브잠금-가스밸브잠금해제
80	온도제어-에어컨제어-풍량세기강
81	편의-홈카메라제어-잔여용량확인
82	온도제어-에어컨제어-타이머설정
83	편의-홈카메라제어-위치확인
84	안전-가스밸브잠금-가스밸브잠금설정
85	온도제어-보일러제어-보일러켜기
86	플러그-전원플러그-위치
87	온도제어-에어컨제어-온도낮추기
88	조명-전체조명제어-위치
89	조명-거실조명제어-타이머설정
90	온도제어-보일러제어-히터방향상
91	조명-거실조명제어-최소설정
92	온도제어-에어컨제어-단계설정
93	안전-현관문잠금-현관문잠금설정
94	온도제어-에어컨제어-온도설정
95	플러그-컴퓨터플러그-위치
96	알림-도착예정알림-거리정보
97	조명-거실조명제어-최대설정
98	온도제어-에어컨제어-바람방향상
99	온도제어-에어컨제어-온도높이기
100	온도제어-보일러제어-히터방향하
101	조명-안방조명제어-위치
102	온도제어-보일러제어-온도낮추기
103	조명-안방조명제어-불켜기
104	편의-로봇청소기제어-단계설정
105	조명-안방조명제어-단계올리기
106	안전-현관문잠금-현관문잠금해제
107	온도제어-에어컨제어-풍량세기약
108	편의-로봇청소기제어-모드변경
109	조명-전체조명제어-최소설정
110	조명-거실조명제어-불켜기
111	플러그-선풍기플러그-타이머설정
112	조명-전체조명제어-최대설정
113	플러그-전원플러그-전원켜기
114	온도제어-에어컨제어-바람방향하
115	조명-전체조명제어-단계내리기
116	온도제어-에어컨제어-전원끄기
117	조명-안방조명제어-최소설정
118	편의-로봇청소기제어-모드설정
119	온도제어-에어컨제어-특정위치에어컨확인
120	조명-거실조명제어-단계내리기
121	플러그-선풍기플러그-전원끄기
122	온도제어-에어컨제어-단계올리기
123	조명-안방조명제어-단계설정
124	조명-안방조명제어-단계내리기
125	차량제어-차문-전체차문
126	정보획득-차량블랙박스-내부CCTV확인
127	공조제어-차량히터-온도조절
128	공조제어-차량에어컨-온도올리기
129	정보획득-차량블랙박스-블랙박스기록확인
130	차량제어-예약시동-시동유지제어
131	정보획득-기름양체크-현재기름양체크
132	차량제어-창문-전체창문
133	차량제어-창문-조수석창문
134	정보획득-차량위치-현재차량위치확인
135	공조제어-차량에어컨-에어컨켜기
136	차량제어-예약시동-주간예약시동
137	공조제어-차량히터-온도높이기
138	공조제어-송풍모드-송풍모드끄기
139	공조제어-차량히터-히터켜기
140	정보획득-엔진오일교체주기-엔진오일교체기록
141	정보획득-엔진오일교체주기-교체예상일
142	차량제어-차문-뒷자리차문
143	차량제어-시트-시트온도제어
144	비상제어-경적제어-경적음끄기
145	차량제어-창문-시동석창문
146	비상제어-경적제어-경적음켜기
147	반복제어-설정세팅-운전자설정확인
148	차량제어-시트-조수석시트
149	공조제어-차량히터-히터끄기
150	공조제어-차량에어컨-에어컨끄기
151	반복제어-설정세팅-운전자설정변경
152	비상제어-비상등제어-비상등켜기
153	차량제어-시트-열선시트
154	차량제어-시트-통풍시트
155	차량제어-시동-시동켜기
156	공조제어-차량히터-온도낮추기
157	공조제어-차량에어컨-온도낮추기
158	차량제어-차문-조수석차문
159	공조제어-송풍모드-내부순환모드끄기
160	공조제어-차량에어컨-온도설정
161	차량제어-시동-시동끄기
162	공조제어-송풍모드-내부순환모드켜기
163	정보획득-엔진오일교체주기-엔진오일예상교체일
164	정보획득-차량블랙박스-블랙박스상태확인
165	공조제어-차량히터-세기제어
166	비상제어-비상등제어-비상등끄기
167	공조제어-송풍모드-송풍모드켜기
168	공조제어-송풍모드-내부순환모드변경
169	반복제어-설정세팅-운전자맞춤설정
170	외부정보-스포츠정보-야구정보검색
171	차량단말기-주변목적지탐색-즐겨찾기등록
172	외부정보-일정확인-오늘일정확인
173	외부서비스-음악서비스-차트검색
174	외부서비스-주문결제-등록식당검색
175	차량단말기-전화기능-부재중전화보기
176	외부정보-날씨정보-감성날씨
177	외부정보-스포츠정보-농구정보검색
178	외부정보-스포츠정보-구단검색
179	외부정보-음식정보-음식재료확인
180	외부정보-날씨정보-주간날씨
